IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
143.47.182.181,443,443,true,FRA,Europe,Frankfurt,279,0.00
144.24.243.207,443,443,true,ZRH,Europe,Zurich,282,0.00
152.67.143.196,443,443,true,FRA,Europe,Frankfurt,292,0.00
89.168.104.76,443,443,true,FRA,Europe,Frankfurt,297,0.00
89.168.80.173,443,443,true,FRA,Europe,Frankfurt,305,0.00
143.47.234.34,443,443,true,FRA,Europe,Frankfurt,325,0.00
193.122.61.167,80,80,false,FRA,Europe,Frankfurt,329,0.00
152.70.188.176,443,443,true,FRA,Europe,Frankfurt,331,0.00
152.67.150.120,443,443,true,FRA,Europe,Frankfurt,337,0.00
89.168.98.253,443,443,true,FRA,Europe,Frankfurt,342,0.00
150.230.114.38,443,443,true,FRA,Europe,Frankfurt,348,0.00
164.152.34.166,80,8080,false,GRU,South America,São Paulo,360,0.00
138.3.253.140,8080,8080,false,FRA,Europe,Frankfurt,360,0.00
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,363,0.00
89.168.110.37,443,443,true,FRA,Europe,Frankfurt,394,0.00
